Blood Diamond,"'Adventure,Drama,Thriller'",'Edward Zwick',"'Leonardo DiCaprio, Djimon Hounsou, Jennifer Connelly, Kagiso Kuypers'",2006,143,57.37
Gold,"'Adventure,Drama,Thriller'",'Stephen Gaghan',"'Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll'",2016,120,7.22
The Revenant,"'Adventure,Drama,Thriller'",'Alejandro González Iñárritu',"'Leonardo DiCaprio, Tom Hardy, Will Poulter, Domhnall Gleeson'",2015,156,183.64
Inglourious Basterds,"'Adventure,Drama,War'",'Quentin Tarantino',"'Brad Pitt, Diane Kruger, Eli Roth,Melanie Laurent'",2009,153,120.52
True Grit,"'Adventure,Drama,Western'",'Ethan Coen',"'Jeff Bridges, Matt Damon, Hailee Steinfeld,Josh Brolin'",2010,110,171.03
The Road,"'Adventure,Drama'",'John Hillcoat',"'Viggo Mortensen, Charlize Theron, Kodi Smit-McPhee,Robert Duvall'",2009,111,0.06
Alice in Wonderland,"'Adventure,Family,Fantasy'",'Tim Burton',"'Mia Wasikowska, Johnny Depp, Helena Bonham Carter,Anne Hathaway'",2010,108,334.19
Alice Through the Looking Glass,"'Adventure,Family,Fantasy'",'James Bobin',"'Mia Wasikowska, Johnny Depp, Helena Bonham Carter, Anne Hathaway'",2016,113,77.04
Fantastic Beasts and Where to Find Them,"'Adventure,Family,Fantasy'",'David Yates',"'Eddie Redmayne, Katherine Waterston, Alison Sudol,Dan Fogler'",2016,133,234.02
Harry Potter and the Deathly Hallows: Part 1,"'Adventure,Family,Fantasy'",'David Yates',"'Daniel Radcliffe, Emma Watson, Rupert Grint, Bill Nighy'",2010,146,294.98
Harry Potter and the Half-Blood Prince,"'Adventure,Family,Fantasy'",'David Yates',"'Daniel Radcliffe, Emma Watson, Rupert Grint, Michael Gambon'",2009,153,301.96
Harry Potter and the Order of the Phoenix,"'Adventure,Family,Fantasy'",'David Yates',"'Daniel Radcliffe, Emma Watson, Rupert Grint, Brendan Gleeson'",2007,138,292
Oz the Great and Powerful,"'Adventure,Family,Fantasy'",'Sam Raimi',"'James Franco, Michelle Williams, Rachel Weisz, Mila Kunis'",2013,130,234.9
