Dances with Wolves,"'Action,Adventure,Classic,Drama'",Kevin Costner,"'Kevin Costner, Mary McDonnell, Rodney Grant, Graham Greene, Floyd ""Red Crow"" Westerman, Tantoo Cardinal, Robert Pastorelli, Charles Rocket, Maury Chaykin, Jimmy Herman'",1990,181,
America: The Motion Picture,"'Action,Adventure,Comedy'",Matt Thompson,"'Channing Tatum, Jason Mantzoukas, Olivia Munn, Andy Samberg, Bobby Moynihan, Judy Greer, Will Forte, Raoul Trujillo, Killer Mike, Simon Pegg'",2021,98,
American Ultra,"'Action,Adventure,Comedy'",Nima Nourizadeh,"'Jesse Eisenberg, Kristen Stewart, Topher Grace, Connie Britton, Walton Goggins'",2015,96,
Charlie's Angels,"'Action,Adventure,Comedy'",McG,"'Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson'",2000,98,
Due Date,"'Action,Adventure,Comedy'",Todd Phillips,"'Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh'",2010,95,
Gunpowder Milkshake,"'Action,Adventure,Comedy'",Navot Papushado,"'Karen Gillan, Lena Headey, Carla Gugino, Chloe Coleman, Michelle Yeoh'",2021,115,
Starsky & Hutch,"'Action,Adventure,Comedy'",Todd Phillips,"'Ben Stiller, Owen Wilson, Vince Vaughn, Juliette Lewis, Snoop Dogg, Fred Williamson, Jason Bateman, Amy Smart, Carmen Electra, George Cheung'",2004,101,
The Whole Nine Yards,"'Action,Adventure,Comedy'",Jonathan Lynn,"'Bruce Willis, Matthew Perry, Rosanna Arquette, Michael Clarke Duncan, Natasha Henstridge, Amanda Peet, Kevin Pollak, Harland Williams, Carmen Ferland, Serge Christianssens'",2000,99,
MR. RIGHT,"'Action,Adventure,Comedy,Romance'",Paco Cabezas,"'Sam Rockwell, Anna Kendrick, Tim Roth, James Ransone, Anson Mount, Michael Eklund, RZA, Katie Nehra'",2015,96,
Vampire Academy,"'Action,Adventure,Comedy,Sci-Fi,Fantasy'",Mark Waters,"'Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne, Dominic Sherwood, Sarah Hyland, Sami Gayle'",2014,104,
