Sweet & Sour,"'Comedy,International, Romance'",Lee Kae-byeok,"'Jang Ki-yong, Chae Soo-bin, Jung Soo-jung'",2021,,
Wind River,"'Drama,Independent,Crime'",Taylor Sheridan,"'Jeremy Renner, Elizabeth Olsen, Jon Bernthal, Gil Birmingham, Kelsey Asbille, Tantoo Cardinal'",2017,107,
African America,"'Drama,Independent,International'",Muzi Mthembu,"'Phumelele Mthembu, Anthony Goss, Thami Buti, Makhosazana Ndlovu'",2021,97,
Fan Girl,"'Drama,Independent,International'",Antoinette Jadaone,"'Charlie Dizon, Paulo Avelino'",2020,101,
Into the Wind,"'Drama,Independent,International'",Sofie Šustková,"'Vladimír Polívka, Jenovéfa Boková, Matyáš Řezníček'",2018,76,
The Danish Girl,"'Drama,Independent,International'",Tom Hooper,"'Eddie Redmayne, Alicia Vikander, Ben Whishaw, Sebastian Koch, Amber Heard, Matthias Schoenaerts, Pip Torrens, Nicholas Woodeson, Emerald Fennell, Adrian Schiller'",2015,120,
The Pianist,"'Drama,Independent,International'",Roman Polański,"'Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Emilia Fox, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Ronan Vibert, Ruth Platt'",2002,149,
Paradox,"'Drama,Independent,Musical'",Daryl Hannah,"'Neil Young, Lukas Nelson, Micah Nelson, Corey McCormick, Anthony Logerfo, Tato'",2018,74,
Copenhagen,"'Drama,Independent,Romance'",Mark Raso,"'Gethin Anthony, Frederikke Dahl Hansen, Sebastian Armesto, Olivia Grant, Baard Owe, Mille Dinesen, Martin Hestbæk, Tamzin Merchant'",2014,99,
Heavy,"'Drama,Independent,Romantic'",James Mangold,"'Pruitt Taylor Vince, Shelley Winters, Liv Tyler, Debbie Harry'",1995,104,
The Clovehitch Killer,"'Drama,Independent,Thriller'",Duncan Skiles,"'Dylan McDermott, Charlie Plummer, Samantha Mathis, Madisen Beaty, Brenna Sherman, Lance Chantiles-Wertz, Emma Jones, Jonathan Riggs'",2018,109,
The Machinist,"'Drama,Independent,Thriller, Cult'",Brad Anderson,"'Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian, Michael Ironside'",2004,102,
Deranged,"'Drama,International'",Jameel Buari,"'Nadia Buari, Ramsey Nouah, Zynnell Zuh, Priscilla Opoku Agyeman, Jason E.L Agha, Lisbeth Lopez Acquah, Henry Prempeh, Pascaline Edwards, Prince Mingle, Kelvin Boateng'",2020,98,
Seven,"'Drama,International'",Tosin Igho,"'Efa Iwara, Richard Mofe-Damijo, Bimbo Manuel, Daddy Showkey, Patrick Diabuah, Uche Nwaefuna, Eriakha Edgar, Evaezi Ogoro, Sadiq Daba, Uzikwendu, Koffi tha guru, Orezi, Tomi Odunsi'",2019,113,
The Dig,"'Drama,International'",Simon Stone,"'Carey Mulligan, Ralph Fiennes, Lily James, Johnny Flynn, Ben Chaplin, Ken Stott'",2021,113,
The Queen,"'Drama,International'",Stephen Frears,"'Helen Mirren, Michael Sheen, James Cromwell, Helen McCrory, Alex Jennings, Roger Allam, Sylvia Syms, Mark Bazeley'",2006,103,
Pan's Labyrinth,"'Drama,International, Sci-Fi,Fantasy'",Guillermo del Toro,"'Ivana Baquero, Sergi López, Maribel Verdú, Doug Jones, Ariadna Gil, Álex Angulo, Manolo Solo, César Vea, Roger Casamajor, Sergi Lopez'",2006,119,
The Lovely Bones,"'Drama,International, Sci-Fi,Fantasy'",Peter Jackson,"'Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci, Michael Imperioli, Saoirse Ronan, Rose McIver, Christian Thomas Ashdale, Reece Ritchie, Carolyn Dando'",2009,136,
The Bank Job,"'Drama,International, Thriller'",Roger Donaldson,"'Jason Statham, Saffron Burrows, Richard Lintern, Stephen Campbell Moore, Daniel Mays, Peter Bowles, Keeley Hawes, Colin Salmon, Alki David, James Faulkner'",2008,112,
The Girl and the Gun,"'Drama,International,Thriller'",Rae Red,"'Janine Gutierrez, Felix Roco, JC Santos, Elijah Canlas, Sky Teotico, Archi Adamos, Allan Paule, Ruby Ruiz, Bie Ruaro, Jess Mendoza'",2019,78,
The Operative,"'Drama,International,Thriller'",Yuval Adler,"'Diane Kruger, Martin Freeman, Cas Anvar, Rotem Keinan, Yohanan Herson'",2019,117,
I Am Woman,"'Drama,Musical'",Unjoo Moon,"'Tilda Cobham-Hervey, Danielle Macdonald, Evan Peters, Chris Parnell, David Lyons, Matty Cardarople, Dusty Sorg'",2019,117,
By the Sea,"'Drama,Romance'",Angelina Jolie,"'Angelina Jolie, Brad Pitt, Mélanie Laurent, Melvil Poupaud, Niels Arestrup, Richard Bohringer'",2015,122,
Cold Mountain,"'Drama,Romance'",Anthony Minghella,"'Jude Law, Nicole Kidman, Rene Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone'",2003,154,
Midnight Sun,"'Drama,Romance'",Scott Speer,"'Bella Thorne, Patrick Schwarzenegger, Rob Riggle, Quinn Shephard, Suleka Mathew'",2018,91,
The Theory of Everything,"'Drama,Romance'",James Marsh,"'Emily Watson, Charlie Cox, Felicity Jones, Maxine Peake, Harry Lloyd, Eddie Redmayne, David Thewlis, Simon McBurney'",2014,123,
Memoirs of a Geisha,"'Drama,Romance Movies'",Rob Marshall,"'Zhang Ziyi, Ken Watanabe, Koji Yakusho, Michelle Yeoh, Kaori Momoi, Youki Kudoh, Gong Li, Cary-Hiroyuki Tagawa, Mako Iwamatsu, Navia Nguyen, Karl Yune'",2005,145,
Up in the Air,"Drama,Romance'",'Jason Reitman',"'George Clooney, Vera Farmiga, Anna Kendrick,Jason Bateman'",2009,109,83.81
A Monster Calls,"'Drama,Sci-Fi,Fantasy'",J.A. Bayona,"'Lewis MacDougall, Sigourney Weaver, Felicity Jones, Liam Neeson, Toby Kebbell, Ben Moor, James Melville, Oliver Steer, Dominic Boyle, Geraldine Chaplin, Jennifer Lim'",2016,108,
Bird Box,"'Drama,Sci-Fi,Fantasy,Thriller'",Susanne Bier,"'Sandra Bullock, Trevante Rhodes, John Malkovich, Sarah Paulson, BD Wong, Jacki Weaver, Rosa Salazar, Danielle Macdonald, Lil Rel Howery, Tom Hollander'",2018,124,
