Ant-Man,"'Action,Adventure,Comedy'",'Peyton Reed',"'Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly'",2015,117,180.19
Deadpool,"'Action,Adventure,Comedy'",'Tim Miller',"'Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein'",2016,108,363.02
Fool's Gold,"'Action,Adventure,Comedy'",'Andy Tennant',"'Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena'",2008,112,70.22
Kingsman: The Secret Service,"'Action,Adventure,Comedy'",'Matthew Vaughn',"'Colin Firth, Taron Egerton, Samuel L. Jackson,Michael Caine'",2014,129,128.25
The A-Team,"'Action,Adventure,Comedy'",'Joe Carnahan',"'Liam Neeson, Bradley Cooper, Sharlto Copley,Jessica Biel'",2010,117,77.21
The Do-Over,"'Action,Adventure,Comedy'",'Steven Brill',"'Adam Sandler, David Spade, Paula Patton, Kathryn Hahn'",2016,108,0.54
The Man from U.N.C.L.E.,"'Action,Adventure,Comedy'",'Guy Ritchie',"'Henry Cavill, Armie Hammer, Alicia Vikander, Elizabeth Debicki'",2015,116,45.43
Inferno,"'Action,Adventure,Crime'",'Ron Howard',"'Tom Hanks, Felicity Jones, Irrfan Khan, Ben Foster'",2016,121,34.26
Sherlock Holmes,"'Action,Adventure,Crime'",'Guy Ritchie',"'Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong'",2009,128,209.02
Sherlock Holmes: A Game of Shadows,"'Action,Adventure,Crime'",'Guy Ritchie',"'Robert Downey Jr., Jude Law, Jared Harris, Rachel McAdams'",2011,129,186.83
Snakes on a Plane,"'Action,Adventure,Crime'",'David R. Ellis',"'Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard'",2006,105,34.01
Apocalypto,"'Action,Adventure,Drama'",'Mel Gibson',"'Gerardo Taracena, Raoul Max Trujillo, Dalia Hernández,Rudy Youngblood'",2006,139,50.86
Assassin's Creed,"'Action,Adventure,Drama'",'Justin Kurzel',"'Michael Fassbender, Marion Cotillard, Jeremy Irons,Brendan Gleeson'",2016,115,54.65
Ben-Hur,"'Action,Adventure,Drama'",'Timur Bekmambetov',"'Jack Huston, Toby Kebbell, Rodrigo Santoro,Nazanin Boniadi'",2016,123,26.38
Centurion,"'Action,Adventure,Drama'",'Neil Marshall',"'Michael Fassbender, Dominic West, Olga Kurylenko,Andreas Wisniewski'",2010,97,0.12
Dawn of the Planet of the Apes,"'Action,Adventure,Drama'",'Matt Reeves',"'Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee'",2014,130,208.54
Everest,"'Action,Adventure,Drama'",'Baltasar Kormákur',"'Jason Clarke, Ang Phula Sherpa, Thomas M. Wright, Martin Henderson'",2015,,43.25
Exodus: Gods and Kings,"'Action,Adventure,Drama'",'Ridley Scott',"'Christian Bale, Joel Edgerton, Ben Kingsley, Sigourney Weaver'",2014,150,65.01
Noah,"'Action,Adventure,Drama'",'Darren Aronofsky',"'Russell Crowe, Jennifer Connelly, Anthony Hopkins, Emma Watson'",2014,138,101.16
Robin Hood,"'Action,Adventure,Drama'",'Ridley Scott',"'Russell Crowe, Cate Blanchett, Matthew Macfadyen,Max von Sydow'",2010,140,105.22
Snow White and the Huntsman,"'Action,Adventure,Drama'",'Rupert Sanders',"'Kristen Stewart, Chris Hemsworth, Charlize Theron, Sam Claflin'",2012,127,155.11
The Book of Eli,"'Action,Adventure,Drama'",'Albert Hughes',"'Denzel Washington, Mila Kunis, Ray Stevenson, Gary Oldman'",2010,118,94.82
The Huntsman: Winter's War,"'Action,Adventure,Drama'",'Cedric Nicolas-Troyan',"'Chris Hemsworth, Jessica Chastain, Charlize Theron, Emily Blunt'",2016,114,47.95
The Legend of Tarzan,"'Action,Adventure,Drama'",'David Yates',"'Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz'",2016,110,126.59
Maleficent,"'Action,Adventure,Family'",'Robert Stromberg',"'Angelina Jolie, Elle Fanning, Sharlto Copley,Lesley Manville'",2014,97,241.41
Max Steel,"'Action,Adventure,Family'",'Stewart Hendler',"'Ben Winchell, Josh Brener, Maria Bello, Andy Garcia'",2016,92,3.77
Tomorrowland,"'Action,Adventure,Family'",'Brad Bird',"'George Clooney, Britt Robertson, Hugh Laurie, Raffey Cassidy'",2015,130,93.42
Avatar,"'Action,Adventure,Fantasy'",'James Cameron',"'Sam Worthington, Zoe Saldana, Sigourney Weaver, Michelle Rodriguez'",2009,162,760.51
Clash of the Titans,"'Action,Adventure,Fantasy'",'Louis Leterrier',"'Sam Worthington, Liam Neeson, Ralph Fiennes,Jason Flemyng'",2010,106,163.19
Conan the Barbarian,"'Action,Adventure,Fantasy'",'Marcus Nispel',"'Jason Momoa, Ron Perlman, Rose McGowan,Stephen Lang'",2011,113,21.27
Doctor Strange,"'Action,Adventure,Fantasy'",'Scott Derrickson',"'Benedict Cumberbatch, Chiwetel Ejiofor, Rachel McAdams, Benedict Wong'",2016,115,232.6
Gods of Egypt,"'Action,Adventure,Fantasy'",'Alex Proyas',"'Brenton Thwaites, Nikolaj Coster-Waldau, Gerard Butler, Chadwick Boseman'",2016,126,31.14
Indiana Jones and the Kingdom of the Crystal Skull,"'Action,Adventure,Fantasy'",'Steven Spielberg',"'Harrison Ford, Cate Blanchett, Shia LaBeouf,Karen Allen'",2008,122,317.01
Man of Steel,"'Action,Adventure,Fantasy'",'Zack Snyder',"'Henry Cavill, Amy Adams, Michael Shannon, Diane Lane'",2013,143,291.02
Pirates of the Caribbean: At World's End,"'Action,Adventure,Fantasy'",'Gore Verbinski',"'Johnny Depp, Orlando Bloom, Keira Knightley,Geoffrey Rush'",2007,169,309.4
Pirates of the Caribbean: Dead Man's Chest,"'Action,Adventure,Fantasy'",'Gore Verbinski',"'Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport'",2006,151,423.03
Prince of Persia: The Sands of Time,"'Action,Adventure,Fantasy'",'Mike Newell',"'Jake Gyllenhaal, Gemma Arterton, Ben Kingsley,Alfred Molina'",2010,116,90.76
Suicide Squad,"'Action,Adventure,Fantasy'",'David Ayer',"'Will Smith, Jared Leto, Margot Robbie, Viola Davis'",2016,123,325.02
The Last Witch Hunter,"'Action,Adventure,Fantasy'",'Breck Eisner',"'Vin Diesel, Rose Leslie, Elijah Wood, Ólafur Darri Ólafsson'",2015,106,27.36
The Mummy: Tomb of the Dragon Emperor,"'Action,Adventure,Fantasy'",'Rob Cohen',"'Brendan Fraser, Jet Li, Maria Bello, Michelle Yeoh'",2008,112,102.18
Thor,"'Action,Adventure,Fantasy'",'Kenneth Branagh',"'Chris Hemsworth, Anthony Hopkins, Natalie Portman, Tom Hiddleston'",2011,115,181.02
Thor: The Dark World,"'Action,Adventure,Fantasy'",'Alan Taylor',"'Chris Hemsworth, Natalie Portman, Tom Hiddleston,Stellan Skarsgård'",2013,112,206.36
